Player,grupo_posicional,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
Jon Gorrotxategi,Pivote,1.6803087991511636,-0.26762260857953574,-1.3015608959474207,-0.21041191263633993,-3.1544025160626803,0.8115961836760204,1.6475100995337792,3.328319469969447,0.21292970007703924
Santiago Colombatto,Pivote,-1.4719013000076095,0.3150596765577181,2.034107877918583,0.701163514976585,-0.4062090499082965,-1.6395820131281695,0.6276236405357077,-0.3121761358756612,-0.0811119138778993
Lucas Torró,Pivote,-0.9676215263214405,-0.1643576163593672,0.8958210631638489,0.7215040480909484,1.198160887333862,0.12303795139596524,0.40382290425528666,0.7300336944540362,1.4207388273531598
Omar Mascarell,Pivote,2.5142208472955465,-0.27453487829015666,-1.7474488841603857,0.10871166302456914,-1.4282867998957804,0.09931110302543389,-0.4003482190638334,0.17696032186011504,-0.48847135886876036
Antonio Blanco,Pivote,2.364014546787988,0.3203052231864752,1.0252974682853424,1.6532439997337578,0.2582187399083988,0.18480842760267566,0.6602044102698313,0.07512206923001312,-0.9098198573535536
Marc Roca,Pivote,1.1004343551417626,-0.5070604866383872,-0.22409595049087025,0.7540511731878301,0.37071242457683634,0.6780069544060758,-0.7164386798484805,0.3006992500331589,0.16202392783548375
Mario Martín,Pivote,2.419155355520733,0.6454795421678072,0.21442827641864748,1.7486797003233367,0.08892645609797642,-1.9501547715827632,-0.0844223896234416,0.17091096314321033,-0.8262858313601839
Lucien Agoume,Pivote,1.3574094020342835,0.7519589767288052,-0.07229139471449066,0.7020588322300587,-1.6276509088479105,-1.2358033771720491,1.0880361316820104,0.11139820896315171,-2.6958502980164942
Aurélien Tchouaméni,Pivote,-0.16626571023488843,0.0026398878387850835,-1.0305337212344048,1.07005265337533,0.7419147963358764,0.9650578940924595,0.30027924164074143,-0.6282664361652258,0.00925898951122786
Samu Costa,Pivote,4.745029496638523,0.3104489398216353,0.5218966396899457,1.989584699863326,0.28676961893363145,-1.2753547288863065,0.33697112076896174,-0.20163943184653227,-0.2871357203921834
Mandela Keita,Pivote,0.5010629083567995,-0.9401744789121933,-1.9103356861165424,-0.2719407737788833,-1.8952000510776326,2.172329151496931,1.8552374132549747,3.099064455983426,1.743854055623696
Oumar Ngom,Pivote,-2.282275669546596,-0.11874565779020392,-0.47344008622236644,0.7663125443841404,0.7020686632064422,1.2715640225011908,-0.09653527041486348,0.5764890872108989,-0.051586750786578144
Al-Musrati,Pivote,-0.12891226042844625,3.8868528263775177,1.827551884416279,-3.0669008376904108,1.1944581644505465,-1.1829007374459775,1.0961004641045284,0.9328188895913384,-1.0741495020994531
Malthe Hojholt,Pivote,-2.048291592017236,-0.5982165518965024,-0.04223076855208061,0.15836033013958095,0.9399431365551132,0.03754361380989602,0.4273789768133706,0.36474114311184774,0.5342526928190025
Billy Gilmour,Pivote,2.312435500380824,-1.3312120502573668,-1.375593559734844,0.12499996124674864,0.7939267841676587,0.8064765887050183,0.18208892359624296,-1.1333614673205377,0.02365095025694895
Cheikh Niasse,Pivote,-1.058924033767058,0.3415348060991981,1.858460650412246,0.4775343604450303,-1.089289108764362,-0.23277484768195636,1.2802510750585443,-0.11737118055793175,-1.030760759487283
Jacopo Grossi,Pivote,-2.8239743032494107,-2.5216471399989877,0.8399061705177024,-1.866064722724711,1.514820694764394,-0.07948791905075622,-0.0632703476424979,-1.5429208449849143,-0.4673057934315661
Marten de Roon,Pivote,1.143450209146568,2.7929342247086577,-0.4063842294100362,-2.7263382907788407,0.19057740038401466,0.4590712155251109,-1.0911208513843025,0.13243863620795263,-0.7399209586985681
Manuel Locatelli,Pivote,0.9999996504057106,0.4131247699479876,0.602629861378487,1.8101827482311015,0.2984470442782035,1.1319263654002452,-0.7108333415442996,-0.05233066307656898,0.21008389643834705
Nemanja Matić,Pivote,0.9984721499953918,0.7163612816070546,-0.9414481101538689,-1.212414764176726,-0.6626662066912247,0.17808054345017246,0.14444860367903387,-0.7059908251977166,1.4994366331985662
Hans Nicolussi Caviglia,Pivote,0.1895858553904047,-1.9209484439304931,3.2616297905030036,-1.5920254221091463,-0.37258710598272093,0.3200462849139894,-1.0580072349423846,-0.483892488548373,0.6414765483070808
Ibrahim Sulemana,Pivote,1.639600228521772,-0.5661211488178417,-1.8676460985827248,0.5257126067897406,0.33425608150688135,-0.5172319794461478,-1.3442199027369102,-0.3757313752260421,0.18477306463084892
Olaf Gorter,Pivote,-3.8713452866806772,-0.11164649945257156,-1.3151403923630423,-0.21541124228049158,-0.31597170818088793,-0.6658368304720766,-2.255554817362989,1.4262396459585693,-1.2508257587925635
Youssouf Fofana,Pivote,2.740987817136664,-1.7636345163441252,0.8253281126207446,-0.5222770257518793,0.9996218509385791,0.2977409713348876,-0.7402686394039736,-0.031165453953978076,0.9620656027677984
Daniel Boloca,Pivote,-3.004625629343369,-1.1225484660943814,-0.22241322941648478,-0.6916557545046237,0.3394472366541429,1.596496510416501,0.48715403150232645,-1.3827717948412204,-0.4799028010151423
